Time,Ctrl,QPos,QVel
2.229999999999976,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5792164873105157,-2.248250192543817,2.7143713552717608,-2.0592594688518706,-1.5726987933463263,0.010335566977856652","0.7982081925709349,-0.6144218217185801,0.24844081128843967,0.15247066917327942,-0.009598382824706217,0.42216176700563823"
2.239999999999975,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.57765253581502,-2.2609093005365137,2.7159743754254766,-2.0579430586210337,-1.5724433729385203,0.011492715092960216","-0.0511479432332961,-1.6520688647364816,0.08102255449513296,0.11097058646385871,0.019727657207778436,-0.08794112667064438"
2.249999999999974,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5787175090562704,-2.2826103642726814,2.715356615854349,-2.0572030440236158,-1.5722781276579634,0.010393946821488875","-0.11853061974570177,-2.507354503695753,-0.15997758105319848,0.04860667075482706,0.015353641706728078,-0.10585947178282262"
2.2599999999999727,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5798596220701084,-2.312601957188358,2.7122220443453933,-2.0570167094748975,-1.5721361554082447,0.009397176200169194","-0.10934826494581087,-3.3234821204407368,-0.41845384765217025,0.01080861050660355,0.013561017313021383,-0.09568564427377502"
2.2699999999999716,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5808621685763173,-2.3505894620458117,2.7064091786273305,-2.0569184630622597,-1.5720096273100652,0.008496048693416873","-0.09413188112094424,-4.111712464165291,-0.6915733673783636,0.009117671272486175,0.012156732798080853,-0.08651668472192287"
2.2799999999999705,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5817145519767442,-2.3962771350268537,2.6977813901899386,-2.056837325377337,-1.5718950355245862,0.00768135091872228","-0.07946965078175286,-4.869113550324409,-0.9790012429400997,0.00745684484974587,0.011036558996421638,-0.07821374804200526"
2.2899999999999694,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5824263168545802,-2.4493335288511284,2.686177144867449,-2.056772449852911,-1.5717905417062499,0.006944766053936425","-0.06580962460293552,-5.591726719489376,-1.2839291172225182,0.005854641024756071,0.010033606785566408,-0.07071872996374005"
2.2999999999999683,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5830082083247543,-2.5093830802931354,2.671400915668627,-2.0567231990136943,-1.5716960277097667,0.006278761448171171","-0.053268178637409035,-6.274822892403437,-1.609792320232783,0.004297676255359957,0.009005904792866382,-0.06396937139552243"
2.309999999999967,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5834706786757116,-2.5759975676019358,2.6532211240083194,-2.0566891006768966,-1.5716106643947236,0.0056767231037813445","-0.04168757291173269,-6.912757601665893,-1.9603213236015906,0.002796726273169857,0.008193560022989937,-0.05782290679151897"
2.319999999999966,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5838234680249252,-2.648686150459831,2.631367560039637,-2.0566700283292847,-1.5715334919862394,0.005132316684173303","-0.031112794546713982,-7.4988457984336625,-2.339461134327255,0.0013148715107712573,0.007466696380355632,-0.0522532476557492"
