Time,Ctrl,QPos,QVel
1.338000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.583259736585207,-2.244820162021582,2.712972009274462,-2.0599205808097523,-1.5727001589695724,0.009090865652174153","0.09449717609191752,-0.0912089933741653,0.06689071603804923,-0.03271969655227921,-0.010017632427682242,0.008871811811218114"
1.340000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5830420431536447,-2.2449290127342625,2.7132029392096273,-2.0599940655114333,-1.5726737226079146,0.008930495342384914","0.10884671578110987,-0.054425356340244105,0.11546496758272526,-0.036742350840418006,0.0132181808288943,-0.08018515489462001"
1.342000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.582808288122359,-2.244985110819096,2.713502596303508,-2.060061531407481,-1.572637208844647,0.008753559641174271","0.11687751564284542,-0.028049042416654377,0.14982854694042078,-0.03373294802375102,0.01825688163378157,-0.08846785060532186"
1.344000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5825683989396773,-2.2450031060955284,2.7138528462535656,-2.0601199283164053,-1.5726000272962182,0.00857868819928858","0.11994459134085263,-0.0089976382162231,0.1751249750288105,-0.02919845446214779,0.018590774214393462,-0.0874357209428453"
1.346000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5823280334305982,-2.2449932632949787,2.714239903929613,-2.0601706138915334,-1.5725640588116292,0.008407368000714092","0.1201827545394768,0.004921400274885164,0.19352883802362741,-0.025342787564077013,0.017984242294441902,-0.08566009928724413"
1.348000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5820906997645043,-2.2449629524773016,2.7146532366186595,-2.0602151825830832,-1.5725303821625547,0.00823958227303987","0.11866683304695837,0.015155408838629687,0.20666634452321017,-0.022284345774927085,0.016838324537272156,-0.08389286383711062"
1.350000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5818563965000583,-2.2449174592682866,2.7150835740112638,-2.0602553770417864,-1.5724947826975493,0.008075070049686665","0.11715163222301997,0.02274660450746953,0.21516869630209207,-0.02009722935149434,0.017799732502687224,-0.0822561116766029"
1.352000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5816265241693057,-2.244860880056288,2.7155248141954553,-2.0602919167393994,-1.5724602612320315,0.007913869818838553","0.11493616537625413,0.02828960599925485,0.2206200920958593,-0.018269848806570115,0.017260732758843596,-0.08060011542405544"
1.354000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5814019813961582,-2.2447961794991245,2.7159725663511907,-2.060325332439246,-1.5724277589378879,0.00775585266264078","0.11227138657377773,0.03235027858178997,0.22387607786763197,-0.016707849923435034,0.016251147071839896,-0.07900857809888649"
1.356000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5811820099124851,-2.244725717119846,2.7164221892169085,-2.0603567664365716,-1.57239478958021,0.007601059464759412","0.10998574183657002,0.03523118963916303,0.22481143285893723,-0.015716998662832472,0.01648467883898066,-0.07739659894068371"
1.358000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.580966826367798,-2.244651204703949,2.71687119680518,-2.060386328363273,-1.5723623683688177,0.007449346219924614","0.10759177234352112,0.037256207948481425,0.22450379413572338,-0.014780963350607199,0.016210605696114266,-0.07585662241739903"
1.360000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5807564181617957,-2.244573965738733,2.7173175579216413,-2.0604143734849933,-1.5723306479355992,0.007300643882837599","0.10520410300117074,0.03861948260800773,0.22318055823057434,-0.014022560860149422,0.015860216609296974,-0.07435116854350739"
1.362000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5805506731634658,-2.2444950084288804,2.7177597349434572,-2.060441141509931,-1.5722996118657715,0.007154904618213812","0.10287249916500013,0.039478654926229984,0.22108851090793455,-0.013384012468818858,0.015518034913849841,-0.07286963231189338"
1.364000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5803494559740023,-2.244415110994287,2.718196570197165,-2.060466861536772,-1.572269234109302,0.007012067683849076","0.10060859473175296,0.039948717296718964,0.21841762685390115,-0.012860013420681712,0.015188878234727848,-0.07141846718236818"
1.366000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5801526254417777,-2.2443348697518712,2.718627215102664,-2.0604917011043584,-1.572239479505643,0.006872080664897082","0.09841526611235603,0.04012062120785455,0.2153224527494206,-0.012419783793177102,0.014877301829566387,-0.06999350947599674"
1.368000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5799600460133778,-2.2442547401818347,2.7190510656430447,-2.0605157830311622,-1.572210327269269,0.006734888934700521","0.09628971419991696,0.040064785018301026,0.21192527019039104,-0.01204096340201448,0.014576118186972119,-0.06859586509828054"
1.370000000000001,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0","-1.5797715917988793,-2.244175069243177,2.7194677040293778,-2.0605392022293305,-1.5721817695338551,0.006600437079343967","0.09422710724922095,0.03983546932899392,0.20831919316651865,-0.01170959908415043,0.014278867706905167,-0.06722592767827683"
