Time,Ctrl,QPos,QVel
1.338000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668986814e-09","-1.583259736585207,-2.244820162021582,2.712972009274462,-2.0599205808097523,-1.5727001589695724,0.009090865652174153","0.09449717609191752,-0.0912089933741653,0.06689071603804923,-0.03271969655227921,-0.010017632427682242,0.008871811811218114"
1.340000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668986505e-09","-1.5831871976834317,-2.244945352141383,2.7130731884128476,-2.060025007708214,-1.572698991186883,0.008930189044110491","0.03626945088767791,-0.06259505990037392,0.050589569192795385,-0.052213449230816694,0.0005838913446839615,-0.08033830403183068"
1.342000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.2232906689861955e-09","-1.5831902090870724,-2.245021355373994,2.7131401531965595,-2.0601408984092413,-1.572694781833031,0.0087530861204911","-0.0015057018203669045,-0.038001616305611274,0.03348239185602961,-0.057945350513651316,0.002104676925924705,-0.08855146180969554"
1.344000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985886e-09","-1.5832440547881343,-2.245056378021638,2.7131795379456065,-2.0602581154722843,-1.5726914271308838,0.00857812562736526","-0.02692285053099591,-0.017511323821802635,0.019692374523507555,-0.05860853152140497,0.001677351073606324,-0.08748024656292015"
1.346000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985577e-09","-1.5833326334314584,-2.2450581687449374,2.7131977441947055,-2.0603747319330923,-1.5726895693795686,0.008406773887379752","-0.04428932166195497,-0.0008953616496445299,0.009103124549437607,-0.05830823040389543,0.0009288756576557269,-0.08567586999275384"
1.348000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.2232906689855834e-09","-1.5834451920548913,-2.24503355605727,2.7131999943899836,-2.0604903291843963,-1.5726891323622976,0.008238798490937725","-0.056279311716489026,0.012306343833789977,0.001125097639034952,-0.057798625652073256,0.0002185086355628665,-0.08398769822101383"
1.350000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985589e-09","-1.5835736631547865,-2.24498840282396,2.7131897581276925,-2.0606047535883607,-1.5726878807436315,0.008074399682270177","-0.06423554994762197,0.022576616654923637,-0.005118131145517375,-0.05721220198227416,0.0006258093330176357,-0.0821994043337734"
1.352000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985595e-09","-1.5837130136457946,-2.244927491996148,2.713170349682994,-2.0607176860278247,-1.5726869905543432,0.007913238788513414","-0.06967524550405664,0.030455413906058285,-0.009704222349324228,-0.056466219731897,0.00044509464413853964,-0.08058044687838166"
1.354000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985602e-09","-1.5838597868178577,-2.244854601045554,2.713144615658305,-2.0608287776785033,-1.5726868471873974,0.007755198694281733","-0.07338658603149714,0.036445475297082926,-0.012867012344485982,-0.055545825339192195,7.1683472892559e-05,-0.07902004711584033"
1.356000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985324e-09","-1.5840110040746325,-2.2447729988954177,2.7131136524369754,-2.060938303514803,-1.5726865796015193,0.007600445676545369","-0.07560862838736124,0.04080107506799544,-0.015481610664801896,-0.054762918149782694,0.00013379293903058632,-0.07737650886818208"
1.358000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985046e-09","-1.584164753819818,-2.244685041591018,2.713079140948066,-2.0610459665385443,-1.5726861464741588,0.0074487574888363285","-0.07687487259272664,0.0439786521999011,-0.01725574445471471,-0.05383151187077582,0.0002165636801922708,-0.07584409385452018"
1.360000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668984767e-09","-1.5843196354761315,-2.2445926164414503,2.7130422425428553,-2.061151694438901,-1.572685702909538,0.007300073914162504","-0.07744082815677206,0.0462125747838564,-0.018449202605306723,-0.05286395017814108,0.00022178231041972835,-0.07434178733691213"
1.362000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668984489e-09","-1.5844746064556698,-2.2444972058223316,2.713003803310851,-2.0612554500936504,-1.5726853030424206,0.007154353417453772","-0.07748548976914989,0.04770530955938862,-0.01921961600230674,-0.051877827374827906,0.00019993355874051253,-0.07286024835436646"
1.364000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.22329066898443e-09","-1.584628905088747,-2.2443999666119883,2.712964433993617,-2.0613572501033945,-1.572684976434264,0.007011535409736907","-0.07714931653859254,0.0486196051715965,-0.01968465861680077,-0.05090000487197377,0.00016330407824421666,-0.07140900385843235"
1.366000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.2232906689843724e-09","-1.5847819612991971,-2.244301791048543,2.712924583845882,-2.0614571063458498,-1.5726847028659876,0.006871568405353026","-0.07652810522502787,0.04908778172241637,-0.019925073867529793,-0.0499281212275066,0.0001367841382323872,-0.06998350219194029"
1.368000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668984314e-09","-1.5849333530749645,-2.244203363515412,2.712884587565057,-2.0615550329923464,-1.5726844681323082,0.006734397238239761","-0.07569588788366687,0.0492137665654445,-0.019998140412523308,-0.04896332324837626,0.00011736683969561058,-0.06858558355663243"
1.370000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668984256e-09","-1.5850827706627102,-2.2441052067698344,2.712844692032668,-2.0616510508688064,-1.5726842663929224,0.006599966120080602","-0.07470879387285777,0.04907837278891781,-0.01994776619449904,-0.048008938230041286,0.00010086969293140793,-0.06721555907957927"
