Time,Ctrl,QPos,QVel
6.00799999999956,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668986814e-09,0.7078626379040174,6.633501720843962e-05,0.7078575172333156,-0.6796432468921518,0.7078626153587485,6.629272530974398e-05,0.7078588300127439,-0.6796431746159914","5.3036346517142344e-14,1.0047264664124322e-13,-1.0784792781340992e-13,-1.0791786093663467e-13,5.323652622963506e-14,3.202664719764978e-19,7.231684531577625e-15,-9.11929964980252e-15,2.112802715203278e-14,-2.95390723134518e-14,-1.5204313319602617e-14,8.63810606115544e-16,5.492286951094848e-15,-1.1328059467115948e-14"
6.0159999999995595,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985577e-09,0.7078626379040174,6.633501720843939e-05,0.7078575172333157,-0.679643246892152,0.7078626153587485,6.629272530974227e-05,0.7078588300127439,-0.6796431746159914","5.264417178839222e-14,1.0067198614909747e-13,-1.0786636194357365e-13,-1.0712848536381429e-13,5.367030781977507e-14,-1.2622509101575175e-19,1.3461724635913882e-14,-8.621533873997892e-16,-2.905023540419327e-14,1.029142650888035e-14,-9.733147555677072e-15,4.2325833811632214e-16,1.1652957820654375e-14,-1.826787668155112e-14"
6.023999999999559,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985602e-09,0.7078626379040174,6.633501720843048e-05,0.7078575172333158,-0.6796432468921523,0.7078626153587485,6.6292725309742e-05,0.7078588300127439,-0.6796431746159914","5.3134071447499337e-14,1.001476232400512e-13,-1.0764198284374603e-13,-1.0899916071272688e-13,5.313353202051642e-14,4.345204286842161e-19,1.3313082858250176e-14,-5.994722015125184e-16,1.8143065259625486e-14,-3.414375138489138e-14,-9.63091534340888e-15,3.490855679500204e-16,1.5436770475627113e-14,-1.8534942718041206e-14"
6.031999999999558,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668984489e-09,0.7078626379040174,6.63350172084344e-05,0.7078575172333157,-0.6796432468921524,0.7078626153587485,6.629272530974378e-05,0.7078588300127439,-0.6796431746159914","5.274702710725431e-14,1.0043831460159359e-13,-1.077113257553828e-13,-1.0820374539533576e-13,5.357496361445413e-14,-6.233181641858722e-23,1.419666386249525e-14,6.644644188575319e-15,-1.347525080132582e-14,5.53482366869567e-14,-9.080760076039956e-15,-2.9808401961024224e-16,1.524392647118458e-14,-1.9235005947158466e-14"
6.039999999999557,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668984256e-09,0.7078626379040174,6.633501720844862e-05,0.7078575172333156,-0.6796432468921518,0.7078626153587485,6.629272530974314e-05,0.7078588300127439,-0.6796431746159914","5.3025225509916746e-14,1.0055993546763145e-13,-1.0793047171370884e-13,-1.0751851819777131e-13,5.31518462665921e-14,2.979335359168367e-19,6.634128207605154e-15,-1.0298250041853199e-14,2.2150401859585948e-14,-2.7532959645860524e-14,-1.572171292657804e-14,8.543409291886152e-16,5.250120654290802e-15,-1.0968061105424233e-14"
6.047999999999556,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668983195e-09,0.7078626379040174,6.633501720843516e-05,0.7078575172333157,-0.6796432468921522,0.7078626153587485,6.629272530974218e-05,0.7078588300127439,-0.6796431746159914","5.265626221142883e-14,1.0073679291906196e-13,-1.0796600845986767e-13,-1.0671756553610394e-13,5.3584352554484237e-14,-1.449437507036289e-19,1.6141914609809628e-14,7.689249198414826e-15,-1.0514980584181626e-14,4.708112464454711e-14,-7.43300328081578e-15,-3.039510792796291e-17,1.681095495493685e-14,-2.1385408669776745e-14"
6.055999999999555,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.2232906689833145e-09,0.7078626379040174,6.63350172084182e-05,0.7078575172333157,-0.6796432468921523,0.7078626153587485,6.629272530974421e-05,0.7078588300127439,-0.6796431746159914","5.3196642386321684e-14,1.0020711640262053e-13,-1.0775955646774426e-13,-1.0859620563058203e-13,5.306158021242903e-14,4.1030465890724824e-19,1.479549966866961e-14,3.649421166331524e-15,4.782803580732525e-14,-2.6279047758996137e-15,-7.94956392834825e-15,-1.1114561538859117e-15,2.2431473419952667e-14,-2.1128336037216e-14"
6.063999999999554,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668982405e-09,0.7078626379040174,6.633501720843268e-05,0.7078575172333157,-0.6796432468921524,0.7078626153587485,6.629272530974244e-05,0.7078588300127439,-0.6796431746159914","5.278533041066682e-14,1.0048525705700634e-13,-1.0778077367596494e-13,-1.0779977352681329e-13,5.3501808072338484e-14,-2.2011863638815506e-20,1.4926221629966347e-14,6.7777233433841204e-15,-1.421242330250753e-14,5.240126404071829e-14,-8.547474818909942e-15,-2.7368152340169115e-17,1.5317783980915406e-14,-1.9869473354738337e-14"
6.071999999999553,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668982352e-09,0.7078626379040174,6.633501720844071e-05,0.7078575172333156,-0.6796432468921518,0.7078626153587485,6.629272530974366e-05,0.7078588300127439,-0.6796431746159914","5.304189796989658e-14,1.006710622456271e-13,-1.0801723104361424e-13,-1.07108650138843e-13,5.306948043508365e-14,2.7136085598708554e-19,7.058056841614764e-15,-1.0789901543019819e-14,2.3551585284475476e-14,-2.9520167267843734e-14,-1.5139973335928592e-14,8.62990437020776e-16,5.682751402707437e-15,-1.1476937958699677e-14"
6.079999999999552,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.2232906689824145e-09,0.7078626379040174,6.633501720843896e-05,0.7078575172333157,-0.679643246892152,0.7078626153587485,6.629272530974147e-05,0.7078588300127439,-0.6796431746159914","5.293485700667473e-14,1.0018014181029438e-13,-1.0760842032917811e-13,-1.0888628328149522e-13,5.3409726874916544e-14,4.1360776259648753e-19,1.3584815484770534e-14,2.19847652013305e-15,-3.059867821460327e-14,1.0974002052864616e-14,-9.643194028198153e-15,9.87926222599469e-16,1.3552834029186346e-14,-1.812958606493725e-14"
6.0879999999995515,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.2232906689814574e-09,0.7078626379040174,6.633501720842911e-05,0.7078575172333158,-0.6796432468921523,0.7078626153587485,6.629272530974252e-05,0.7078588300127439,-0.6796431746159914","5.255707135783485e-14,1.0043880490087761e-13,-1.0766226717123462e-13,-1.0808042004941039e-13,5.383378884751546e-14,-6.558615908585262e-20,1.3337698246410914e-14,-1.042581981280536e-15,2.0582664153149197e-14,-3.4014269337070054e-14,-9.567665948385069e-15,3.0655266792507586e-17,1.3358304304216227e-14,-1.8885302710837812e-14"
