Time,Ctrl,QPos,QVel
6.00799999999956,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668986814e-09,0.7078626379040174,6.633501720843962e-05,0.7078575172333156,-0.6796432468921518,0.7078626153587485,6.629272530974398e-05,0.7078588300127439,-0.6796431746159914","5.3036346517142344e-14,1.0047264664124322e-13,-1.0784792781340992e-13,-1.0791786093663467e-13,5.323652622963506e-14,3.202664719764978e-19,7.231684531577625e-15,-9.11929964980252e-15,2.112802715203278e-14,-2.95390723134518e-14,-1.5204313319602617e-14,8.63810606115544e-16,5.492286951094848e-15,-1.1328059467115948e-14"
6.00999999999956,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668986505e-09,0.7078626379040174,6.633501720843957e-05,0.7078575172333156,-0.6796432468921518,0.7078626153587485,6.629272530974355e-05,0.7078588300127439,-0.6796431746159914","5.2938302834954814e-14,1.0052248151820678e-13,-1.0785253634595085e-13,-1.0772051704342958e-13,5.3344971627170065e-14,2.0864358122843542e-19,8.78919455766169e-15,-7.0550130842018365e-15,8.583461512976266e-15,-1.9581447607868763e-14,-1.3836521878621231e-14,7.536725391157385e-16,7.03245466848473e-15,-1.3063013770724741e-14"
6.01199999999956,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.2232906689861955e-09,0.7078626379040174,6.63350172084395e-05,0.7078575172333157,-0.6796432468921519,0.7078626153587485,6.629272530974313e-05,0.7078588300127439,-0.6796431746159914","5.284025915276728e-14,1.0057231639517035e-13,-1.0785714487849178e-13,-1.0752317315022448e-13,5.3453417024705065e-14,9.702069048037303e-20,1.0346704583745753e-14,-4.990726518601154e-15,-3.961104126080246e-15,-9.623822902285725e-15,-1.2468730437639844e-14,6.43534472115933e-16,8.572622385874612e-15,-1.4797968074333534e-14"
6.01399999999956,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985886e-09,0.7078626379040174,6.633501720843945e-05,0.7078575172333157,-0.679643246892152,0.7078626153587485,6.629272530974271e-05,0.7078588300127439,-0.6796431746159914","5.274221547057975e-14,1.0062215127213392e-13,-1.0786175341103272e-13,-1.0732582925701939e-13,5.3561862422240065e-14,-1.4602200267689334e-20,1.190421460982982e-14,-2.926439953000472e-15,-1.6505669765136754e-14,3.3380180329731285e-16,-1.1100938996658457e-14,5.333964051161276e-16,1.0112790103264493e-14,-1.6532922377942327e-14"
6.0159999999995595,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985577e-09,0.7078626379040174,6.633501720843939e-05,0.7078575172333157,-0.679643246892152,0.7078626153587485,6.629272530974227e-05,0.7078588300127439,-0.6796431746159914","5.264417178839222e-14,1.0067198614909747e-13,-1.0786636194357365e-13,-1.0712848536381429e-13,5.367030781977507e-14,-1.2622509101575175e-19,1.3461724635913882e-14,-8.621533873997892e-16,-2.905023540419327e-14,1.029142650888035e-14,-9.733147555677072e-15,4.2325833811632214e-16,1.1652957820654375e-14,-1.826787668155112e-14"
6.017999999999559,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.2232906689855834e-09,0.7078626379040174,6.633501720843717e-05,0.7078575172333157,-0.679643246892152,0.7078626153587485,6.62927253097422e-05,0.7078588300127439,-0.6796431746159914","5.2766646703169e-14,1.005408954218359e-13,-1.0781026716861674e-13,-1.0759615420104244e-13,5.353611386996041e-14,1.396128890924022e-20,1.3424564191497955e-14,-7.964830909279715e-16,-1.725191023823858e-14,-8.173679645625826e-16,-9.707589502610024e-15,4.047151455747467e-16,1.2598910984397559e-14,-1.833464319067364e-14"
6.019999999999559,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985589e-09,0.7078626379040174,6.633501720843493e-05,0.7078575172333157,-0.6796432468921522,0.7078626153587485,6.629272530974214e-05,0.7078588300127439,-0.6796431746159914","5.2889121617945774e-14,1.0040980469457434e-13,-1.0775417239365984e-13,-1.0806382303827058e-13,5.3401919920145743e-14,1.541476688342322e-19,1.338740374708203e-14,-7.308127944561538e-16,-5.453585072283892e-15,-1.1926162438005516e-14,-9.682031449542976e-15,3.861719530331713e-16,1.3544864148140745e-14,-1.8401409699796163e-14"
6.021999999999559,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985595e-09,0.7078626379040174,6.633501720843271e-05,0.7078575172333158,-0.6796432468921523,0.7078626153587485,6.629272530974207e-05,0.7078588300127439,-0.6796431746159914","5.3011596532722555e-14,1.0027871396731277e-13,-1.0769807761870294e-13,-1.0853149187549873e-13,5.326772597033108e-14,2.943340487592242e-19,1.3350243302666102e-14,-6.651424979843361e-16,6.3447400936708015e-15,-2.3034956911448446e-14,-9.656473396475927e-15,3.676287604915959e-16,1.449081731188393e-14,-1.8468176208918684e-14"
6.023999999999559,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985602e-09,0.7078626379040174,6.633501720843048e-05,0.7078575172333158,-0.6796432468921523,0.7078626153587485,6.6292725309742e-05,0.7078588300127439,-0.6796431746159914","5.3134071447499337e-14,1.001476232400512e-13,-1.0764198284374603e-13,-1.0899916071272688e-13,5.313353202051642e-14,4.345204286842161e-19,1.3313082858250176e-14,-5.994722015125184e-16,1.8143065259625486e-14,-3.414375138489138e-14,-9.63091534340888e-15,3.490855679500204e-16,1.5436770475627113e-14,-1.8534942718041206e-14"
6.025999999999558,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668985324e-09,0.7078626379040174,6.633501720843145e-05,0.7078575172333158,-0.6796432468921523,0.7078626153587485,6.629272530974245e-05,0.7078588300127439,-0.6796431746159914","5.303731036243808e-14,1.002202960804368e-13,-1.0765931857165521e-13,-1.088003068833791e-13,5.324388991900085e-14,3.2587473855905745e-19,1.3533978109311445e-14,1.2115568960094407e-15,1.023848624438766e-14,-1.177075436692936e-14,-9.493376526566649e-15,1.8729317105995476e-16,1.538855947451648e-14,-1.870995852532052e-14"
