Time,Ctrl,QPos,QVel
0.044000000000000025,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.601784907514353,-2.247348353396914,2.7241002273155144,-2.0635349275627632,-1.5756933968172386,-3.410239461775893e-07,0.5726607212719512,-0.0170268626294326,0.5612781937812424,-0.5149185506933538,0.572640977756043,-0.020322721997265945,0.5589778830536999,-0.5084499393780958","-0.47655399631910644,-0.09846847809520579,-0.25816986529657776,-0.027452166005382642,-0.08998255879447033,2.46071327608645e-05,1.3230670718848547,-0.008805129891299265,1.3357965297837444,-1.258756976144765,1.3228770042027986,-0.06288095585448303,1.2972932487740716,-1.1545984174735107"
0.05200000000000003,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.6052020400972995,-2.2480416971496435,2.722160491985932,-2.0637473932774766,-1.5763908810756908,-1.5134577447185925e-07,0.5829370851668373,-0.016690993475150746,0.5719032575079559,-0.5255131938470027,0.5829170617460137,-0.020379281824483796,0.5693426494321958,-0.5182831447300117","-0.3459921945595039,-0.06713386510828065,-0.2172397881944557,-0.025229536934425263,-0.08292407124044233,2.1885329866723043e-05,1.2220357913431197,0.12596582484764154,1.3162200086502294,-1.433073812947488,1.2222155796459193,0.08519764854158182,1.2930582524659153,-1.3528267184831022"
0.06000000000000004,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.6076067842173218,-2.248488226854353,2.7205298540475016,-2.0639425042310102,-1.5770350551022254,9.38006403855147e-09,0.5924292533125834,-0.015286574988820053,0.5823905430315763,-0.5374935999893217,0.5924109159023324,-0.019263676349790402,0.5796705472831137,-0.5296947732345212","-0.23383698823941165,-0.03955794670675076,-0.1820452288332114,-0.02221799029184902,-0.07285246076610594,1.4966686368609333e-05,1.1291443739133546,0.25778806115825564,1.3092511402015907,-1.602737525495432,1.1288156100101343,0.2285635100385755,1.2813118991775916,-1.5503237222934723"
0.06800000000000005,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.6092548162228577,-2.2487579274495157,2.7191789529502173,-2.0641046334603916,-1.577529816369075,1.0449667405124475e-07,0.6012028399654056,-0.01283637671391877,0.5928713510753831,-0.550817563552516,0.6011760226598343,-0.017018614243902143,0.5898687686498312,-0.5426841735702508","-0.16688289833364017,-0.024762790776718644,-0.14793998279726278,-0.0174867537122244,-0.03913014288412797,7.795432898658246e-06,1.0424930868935371,0.37738189036945446,1.322242463694784,-1.7710781651775598,1.0428328739173889,0.371394983405395,1.2586878789892981,-1.744175782759934"
0.07600000000000005,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.610407477352359,-2.248913076083017,2.718067968670292,-2.06423543309167,-1.5777671420749693,1.6997356629543898e-07,0.609305684456731,-0.009380510619116263,0.6032266099089333,-0.5655293841944997,0.6092764794118902,-0.01367919994236479,0.6000874373505697,-0.5571620978189176","-0.10575576183875252,-0.010071509004059058,-0.12661214382982078,-0.014823801155285723,-0.019531722156208638,7.608200583300302e-06,0.963411711801779,0.5122263778645112,1.2706129651983138,-1.9497556953165507,0.9636132744905093,0.4990428642619913,1.29093358543992,-1.920551674850993"
0.08400000000000006,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.6110965818776666,-2.2489557488935987,2.7171027221227178,-2.064348298231213,-1.577892142187101,2.2133154380917616e-07,0.6167875109639122,-0.004921339683777588,0.6133769099203904,-0.5816337438162781,0.6167629268654506,-0.009300158484548179,0.6103964954277804,-0.5730722396527224","-0.056619510472011296,0.0017475844251394496,-0.11135761957552494,-0.013009247410459996,-0.009760100884452033,4.60881403103672e-06,0.8896189931503777,0.6321861090805698,1.2663466724726204,-2.117897002880954,0.8905335371708213,0.6265999301143125,1.2840914428244956,-2.1017571493993144"
0.09200000000000007,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.6114345195006916,-2.248914302008835,2.716251149228036,-2.0644478636261048,-1.577947288571253,2.512882662609721e-07,0.6236976745243779,0.0004886563592375326,0.6234941651740895,-0.5990764847331355,0.6236802192372364,-0.0039188157013837835,0.6206474849194684,-0.5904192930714994","-0.02062500032010302,0.010358142853801286,-0.0987253875884715,-0.011577524867594155,-0.0025207421025114553,2.4496087875331234e-06,0.8708069978995295,0.1739756924567054,1.0392384474089724,-1.4786961839863717,0.8662732252165579,0.7068774962581894,1.3386324328367454,-2.2798880277971656"
0.10000000000000007,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.611525412895175,-2.2488118496206884,2.7154867654511285,-2.0645377359509194,-1.577953289160984,2.630958424297883e-07,0.6302426830113921,-0.0011141674368320576,0.6318021165279541,-0.6068340465128212,0.6302708879982089,0.0012651896078214602,0.6322852921214502,-0.6092981853978128","0.003771253528567338,0.016687293806113737,-0.08952306406793113,-0.010582000549987767,0.0023456216122089073,1.2381559347506568e-06,0.8473158137604628,0.057509547642269426,0.750703698034376,-0.6488606453001223,0.8608274014835876,0.07379131972007424,0.8631475355805818,-1.2331505190711396"
0.10800000000000008,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.6114349610186467,-2.2486645857865044,2.7147927983665,-2.0646199925372413,-1.5779217355509534,2.679137276813701e-07,0.6363778041737923,-0.0037129699197080463,0.6415917547734421,-0.6130853796216625,0.6364983848578534,-0.007562912987457487,0.6410705800016013,-0.6135577253387989","0.023762695654403695,0.02111438985184294,-0.08137748690337869,-0.009680271537341995,0.006784686450416001,6.341293500054021e-07,0.7900859578763223,0.4294812146940431,0.4203803007994513,-0.7853213046531113,0.791504158623601,0.07546320123115424,0.07021273041450549,0.4909221174340579"
0.11600000000000009,"-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0","-1.6111871967068012,-2.2484854681172832,2.714168462974501,-2.0646945540725405,-1.5778548019819856,2.7083339507429763e-07,0.6419681943352262,5.239808353697372e-05,0.6447288745591435,-0.6199433341817138,0.6420534861069401,-0.006657531729220194,0.6414902685996835,-0.6102188997602197","0.04217395176809222,0.0241316831673863,-0.0729136334882664,-0.008753161029872914,0.01084616330595342,-8.774036110611785e-08,0.6600898913626997,0.13547810429225632,0.44258040882710376,-0.6092683667598262,0.6490938466634473,-0.05328241743363846,0.24277447564836263,0.24740655933919323"
