Time,QPos,QVel,Ctrl
0.032000000000000015,"-1.59332513390522,-2.245547915681791,2.728315198968849,-2.0631047860423792,-1.5743146529623222,-6.857693195011003e-07,0.5525872838262409,-0.014976326196759444,0.5422364133814395,-0.49979697757280467,0.5525816424472568,-0.017338288050839798,0.5407314527818153,-0.4950938666888726","-0.6933073252900397,-0.14961802340075853,-0.33191345435650754,-0.03366892719830186,-0.10499529935835854,2.306498362495687e-05,1.5209762367471826,-0.2503100994576856,1.3803532674420271,-0.9435129475719825,1.5190392781619066,-0.32554306345545503,1.3086734087503904,-0.8029720770880843","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.04200000000000002,"-1.5996805969662438,-2.2469076167018063,2.7251979132022446,-2.0634208756296433,-1.5753211429395326,-4.4145224986325837e-07,0.5672080168766448,-0.01678631845024456,0.5559011885010543,-0.510148315660503,0.5671898896429628,-0.019845951205716233,0.5537807378802634,-0.5041314683734042","-0.5425079967302153,-0.11406152926491028,-0.2798696652179954,-0.02888685011794678,-0.09411500815959974,2.5220655821614225e-05,1.376727561412791,-0.07729991035172733,1.3471578582490498,-1.1704102084073231,1.376243537034335,-0.13800133536177608,1.2999850052595805,-1.0545840571673921","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.05200000000000003,"-1.6044460202384803,-2.247891916978927,2.7226145403532507,-2.0636959638907237,-1.5762218766434233,-1.9675563152096243e-07,0.5804440100846356,-0.01687614627063507,0.5692617977654862,-0.5227337346640166,0.580423775487055,-0.02047634033681284,0.566754669788713,-0.5156760687213096","-0.37800992940966394,-0.07489008535814103,-0.2270241836592538,-0.0257146933763705,-0.08450221613371448,2.2704928524551597e-05,1.2465375411008326,0.09257639774216236,1.3207298712348543,-1.3897295914930345,1.2466431294793103,0.04852925616452262,1.2939898217413714,-1.3035380043510416","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.06200000000000004,"-1.6076067842173218,-2.248488226854353,2.7205298540475016,-2.0639425042310102,-1.5770350551022254,9.38006403855147e-09,0.5924292533125834,-0.015286574988820053,0.5823905430315763,-0.5374935999893217,0.5924109159023324,-0.019263676349790402,0.5796705472831137,-0.5296947732345212","-0.23383698823941165,-0.03955794670675076,-0.1820452288332114,-0.02221799029184902,-0.07285246076610594,1.4966686368609333e-05,1.1291443739133546,0.25778806115825564,1.3092511402015907,-1.602737525495432,1.1288156100101343,0.2285635100385755,1.2813118991775916,-1.5503237222934723","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.07200000000000005,"-1.609588582019525,-2.2488074530310693,2.7188830729846227,-2.064139606967816,-1.5776080766548433,1.2008753984856124e-07,0.6032878261391926,-0.01208161293317986,0.5955158360027727,-0.5543597198828711,0.603261688407669,-0.01627582427709135,0.5923861444078098,-0.5461725251357706","-0.15253373322854302,-0.021537203229044215,-0.14095682281211117,-0.01661270200612106,-0.030847995932576915,7.882904723189098e-06,1.0230932010980733,0.41769892505699346,1.2994208305658341,-1.8158632433109199,1.0223772869533923,0.39965167413965097,1.2741130158026597,-1.7884694038047138","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.08200000000000006,"-1.610803002146981,-2.2489466941127647,2.717569729440242,-2.064293733490773,-1.5778397754678894,1.9876996020599228e-07,0.6131211886273505,-0.0072712226645674505,0.6083060454508638,-0.5734131565536912,0.6130934228065626,-0.0116180067203087,0.6052487065799381,-0.5649354244840273","-0.07928074581514735,-0.003673682604223639,-0.11860800003787046,-0.013860285283310604,-0.014259402175835285,6.004381680234257e-06,0.9256978588163164,0.5725026880850972,1.2681501690710484,-2.034194266691857,0.9264304173755091,0.5636252363291305,1.2879065738909723,-2.0115869192381233","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.09200000000000007,"-1.611377345341627,-2.248931190952088,2.7164545178268593,-2.0644240585282687,-1.5779389554514427,2.4542685432380314e-07,0.6220211241229102,-0.0009514933429586754,0.6209684697906963,-0.5945911228738198,0.6220019902936915,-0.005355595598450008,0.6180900948403355,-0.5859499017644852","-0.028587079532296694,0.008444471626533735,-0.10168429941176693,-0.01190254891812381,-0.004166559905186761,2.930705968584493e-06,0.8382752007338047,0.720074851098104,1.2628476916966156,-2.242680929657852,0.8391144717724207,0.7183899485331121,1.2786950395664376,-2.234695653507103","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.10200000000000008,"-1.611525412895175,-2.2488118496206884,2.7154867654511285,-2.0645377359509194,-1.577953289160984,2.630958424297883e-07,0.6302426830113921,-0.0011141674368320576,0.6318021165279541,-0.6068340465128212,0.6302708879982089,0.0012651896078214602,0.6322852921214502,-0.6092981853978128","0.003771253528567338,0.016687293806113737,-0.08952306406793113,-0.010582000549987767,0.0023456216122089073,1.2381559347506568e-06,0.8473158137604628,0.057509547642269426,0.750703698034376,-0.6488606453001223,0.8608274014835876,0.07379131972007424,0.8631475355805818,-1.2331505190711396","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.11200000000000009,"-1.6113874356273379,-2.2486223570068007,2.7146300433926935,-2.0646393530803158,-1.5779081661780525,2.691819863813809e-07,0.637957976089545,-0.00285400749031996,0.642432515375041,-0.6146560222309687,0.6380813931751006,-0.007411986584995179,0.6412110054624304,-0.6125758811039308","0.028725410462892998,0.022048845959717563,-0.07905971149868275,-0.009434737705796,0.007873191394031752,4.6751646125334143e-07,0.6976297441346113,0.5326893489220439,0.2958086441612237,-0.827675115022028,0.6938172134942268,0.21106777963482712,-0.046275425067881945,0.4654178792542234","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.1220000000000001,"-1.6110123533025344,-2.248388335736542,2.713878185634938,-2.0647293661428194,-1.5778101223168153,2.6908855758330325e-07,0.6447179949266687,0.0010944643754598128,0.6453263254708989,-0.6216979592763137,0.6447675732370659,-0.0058684008454325896,0.641368644055986,-0.6091706953030961","0.04910383252431999,0.024906547690723736,-0.07031441382337844,-0.008471557272623071,0.01238242439087466,-3.8034605612771597e-07,0.5804424925994522,-0.010259159369929605,0.1980205793011781,-0.1535657691286724,0.5724036429113633,0.0019391058763795765,0.1449903546105314,0.1303214395057547","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.1320000000000001,"-1.6104543810007859,-2.2481317178038496,2.713209260463746,-2.064810241312054,-1.577672416734288,2.626682456908396e-07,0.6505164069034395,-3.11502190431926e-05,0.6498788013385345,-0.6240644361853531,0.6505143384120203,-0.007658200558828996,0.6453854943916119,-0.6091273571077247","0.06442965751641172,0.02657685673238457,-0.062147057865830184,-0.007559508755189738,0.01549960317625873,-1.1004938436758562e-06,0.56023161435642,-0.08505096360308564,0.5349813887354741,-0.36205254614217536,0.5586212567121069,-0.18568105400664342,0.4792010510521057,-0.14446215508495008","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.1420000000000001,"-1.6097706908655405,-2.2478616935298437,2.7126154538336773,-2.064882941340185,-1.5775102644612526,2.489038419303674e-07,0.6558942866904747,-0.00036984247620612206,0.6552228100353519,-0.6285156098585746,0.6558867535993136,-0.009014525347568783,0.6501728928498376,-0.6114430779014883","0.07302300884202728,0.02765553933935145,-0.05547848477356567,-0.00693155464002727,0.017032569081816207,-1.7484722932073605e-06,0.5058419498094815,0.041765245068777074,0.5388410521010466,-0.568421463832962,0.5061922576328857,-0.060508657889065745,0.48374485992446736,-0.3600161920668592","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.1520000000000001,"-1.6090259948004704,-2.2475793368234074,2.712082037546744,-2.064951075291776,-1.5773377704097356,2.2860113097834623e-07,0.6608192065304979,0.00038687828378881385,0.6602600694812492,-0.6342263365551463,0.6607995716904276,-0.008988130535066098,0.6549402281594613,-0.6158576506751445","0.07538626390419599,0.02919280413676672,-0.050564634008451396,-0.006669642587264881,0.017369450166205676,-2.106762030159845e-06,0.45674301115110016,0.007433936120901596,0.42887367061062737,-0.4320641383685364,0.45273545434072643,0.08304502595170346,0.47712989931727423,-0.5670851676102581","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.16200000000000012,"-1.608269584914079,-2.247280976025819,2.711596287499521,-2.0650167640329027,-1.5771639362029375,2.0720542006416343e-07,0.6652544279776599,-0.00041559190666910973,0.6641372950890317,-0.6378469942406937,0.6651698216844106,-0.007631750808667967,0.6598212991521616,-0.6223307546232438","0.07545897687279653,0.030762685732039472,-0.045716645164898706,-0.006518469841514793,0.017246810692020963,-2.2269216734461716e-06,0.41316194585474947,0.013972985972514642,0.4784142725020796,-0.38958596688543606,0.4170931705171115,0.1495955144800687,0.5757273000486146,-0.7779679868958019","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.17200000000000013,"-1.6075234740183788,-2.2469676082553907,2.711154909618875,-2.065082334414221,-1.5769937382373478,1.8463773823060018e-07,0.6692198647011116,0.00019182240027467906,0.6688349516163541,-0.6426017476010488,0.6691863240238715,-0.005517461989198412,0.6655282937833763,-0.6308983847592167","0.07294674364994821,0.03215397029016495,-0.04196632215698664,-0.006622645756288048,0.016625526246856304,-2.2655841387144725e-06,0.3820109387204314,0.02562649873816994,0.4277187681347097,-0.45759412262389715,0.38547611629530976,0.28970380455634753,0.5822992607096746,-0.9757123222027311","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.18200000000000013,"-1.6068108131029015,-2.2466417235099345,2.710742810789992,-2.0651496684038473,-1.5768307647798259,1.6211387351592484e-07,0.6729336078682235,-7.882319576638357e-05,0.671967751445047,-0.6459516254984222,0.6728695371951713,-0.0016687778639381937,0.6708770432323727,-0.641385002245805","0.06900388434669376,0.03325808396775778,-0.039528666513660035,-0.006798344749071427,0.01582099089049493,-2.0890284430994804e-06,0.3337316454183445,-0.08230236653579667,0.290677384836853,-0.221804400726622,0.32949874213019625,0.43572686538166716,0.5674908243667963,-1.172903492984467","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.19200000000000014,"-1.6061368627977128,-2.2463057750456747,2.710357409226263,-2.065218023562353,-1.5766757754871565,1.416600778558094e-07,0.6763021345758249,0.0002516358623236823,0.6744808786771601,-0.6484933326122202,0.6763162864258669,0.0013697621625288544,0.6745238101203788,-0.6490844674494786","0.06497387353558297,0.03404243962788792,-0.03708775303353627,-0.006878556426099422,0.015048582011969493,-1.896285720295628e-06,0.2840910214915256,-0.016643488850209012,0.38338891681246035,-0.2929180060035173,0.29299847772359433,-0.11066550512125323,0.37725461098748164,-0.2541133583249242","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
