Time,Ctrl,QPos,QVel
0.0,"-1.58344873,-2.0939446952738354,-0.4302299290320182,-3.141592653589793,-1.57268012,0.00907312","-1.58344873,-2.24463774,2.7123823,-2.05985514,-1.57268012,0.00907312","-0.0937863353,0.0581125554,-0.0213125801,-0.066416034,-3.1683266e-05,-0.0923979267"
0.002,"-1.58344873,-1.2449893186119136,-0.563057834784594,-1.6209572364038372,-1.57268012,0.00907312","-1.5836565234021334,-2.2448814390531826,2.7122497909660694,-2.060009093523571,-1.5726788670883716,0.009054894958868501","-0.1038967010666547,-0.12184952659142341,-0.06625451696527065,-0.0769767617855841,0.0006264558142243527,-0.00911252056574978"
0.004,"-1.58344873,-1.1838620317826771,-0.6085334742160828,-1.7782116140627282,-1.57268012,0.00907312","-1.5838756526678288,-2.245481664832958,2.7120254075987416,-2.06018589591779,-1.5726781086327803,0.009054327119098208","-0.10956463284771953,-0.30011288988766754,-0.11219168366403953,-0.08840119710946007,0.0003792277955580499,-0.00028391988514650697"
0.006,"-1.58344873,-1.3971354204048962,-2.139329079826097,-2.6494812429913956,-1.57268012,0.00907312","-1.5840991729226614,-2.246435058645288,2.7117087554299273,-2.060385666802243,-1.5726778695279193,0.009054886982970422","-0.11176012741630943,-0.47669690616524574,-0.1583260844071092,-0.09988544222648912,0.00011955243051107279,0.00027993193610722535"
0.008,"-1.58344873,-2.0943951023931953,-3.1367684413048447,-3.1414115794416135,-1.57268012,0.00907312","-1.584322962520921,-2.2477387905910664,2.7112995164090066,-2.0606086390202223,-1.5726778844600011,0.009055332119992182","-0.11189479912979879,-0.6518659728891896,-0.20461951046033022,-0.11148610898976515,-7.466040920983317e-06,0.0002225685108804146"
0.01,"-1.58344873,-2.0943951023931953,-3.141347913246804,-3.141592653589793,-1.57268012,0.00907312","-1.5845447032131492,-2.249390332383047,2.7107975496634586,-2.060854956093692,-1.5726784803551244,0.009055714280692498","-0.11087034611407649,-0.8257708959902134,-0.25098337277395577,-0.12315853673494676,-0.0002979475616101083,0.00019108035015796127"
0.012,"-1.58344873,-2.0943951023931953,-3.0546242569727053,-3.141592653589793,-1.57268012,0.00907312","-1.584763110550145,-2.2513872704054196,2.710202909679703,-2.0611247117863383,-1.572679698010418,0.009056098476260856","-0.10920366849781556,-0.9984690111864267,-0.29731999187786146,-0.1348778463229811,-0.0006088276468784867,0.00019209778417909404"
0.014,"-1.58344873,-2.0943951023931953,3.141545465704228,-3.141592653589793,-1.57268012,0.00907312","-1.584976774062451,-2.253727395558113,2.709514822442994,-2.0614182607332903,-1.572679873009216,0.009056430576472744","-0.10683175615302212,-1.1700625763467052,-0.34404361835448877,-0.14677447347607553,-8.749939890530982e-05,0.00016605010594412828"
0.016,"-1.58344873,-2.0943951023931953,3.1284897761909276,-3.141592653589793,-1.57268012,0.00907312","-1.5852224819789897,-2.256430833103751,2.709058114866934,-2.061822760391452,-1.5726784613468574,0.00905668907319898","-0.12285395826940973,-1.3517187728188602,-0.22835378803020373,-0.20224982908068861,0.0007058311792614476,0.0001292483631176418"
0.018000000000000002,"-1.58344873,-2.0943951023931953,-0.32124932006650253,-3.141592653589793,-1.57268012,0.00907312","-1.5854855353364663,-2.2594927948852197,2.7088297479771968,-2.0623414363306263,-1.5726788454477207,0.00905662529147216","-0.13152667873828625,-1.5309808907344535,-0.1141834448686789,-0.2593379695872814,-0.00019205043161738542,-3.1890863410261494e-05"
0.020000000000000004,"-1.58344873,-2.0943951023931953,-0.1837464430797522,-3.141592653589793,-1.57268012,0.00907312","-1.5857097458500207,-2.2628382135412872,2.7085480959775143,-2.0629043761006924,-1.5726804030573254,0.00905724665565166","-0.11210525677717864,-1.672709328033789,-0.14082599984128366,-0.2814698850330072,-0.0007788048022653415,0.0003106820897500582"
