Time,Ctrl,QPos,QVel
0.0,"-1.58344873,-2.0939446952738354,-0.4302299290320182,-3.141592653589793,-1.57268012,0.00907312","-1.58344873,-2.24463774,2.7123823,-2.05985514,-1.57268012,0.00907312","-0.0937863353,0.0581125554,-0.0213125801,-0.066416034,-3.1683266e-05,-0.0923979267"
0.002,"-1.58344873,-1.2449893186119136,-0.563057834784594,-1.6209572364038372,-1.57268012,0.00907312","-1.58365485639206,-2.244878607355806,2.712260613835211,-2.0601016439436646,-1.5726789215239303,0.009054892974610228","-0.10306319603006091,-0.12043367790311878,-0.06084308239427634,-0.12325197183236232,0.0005992380348671695,-0.0091135126948865"
0.004,"-1.58344873,-1.1838620317826771,-0.6085334742160828,-1.7782116140627282,-1.57268012,0.00907312","-1.5838720260155856,-2.245473833987376,2.712055686323137,-2.0604666169107952,-1.5726781560006677,0.009054316745982718","-0.10858481176279591,-0.2976133157850309,-0.10246375603723315,-0.1824864835653973,0.00038276163125911585,-0.0002881143137544468"
0.006,"-1.58344873,-1.3971354204048962,-2.139329079826097,-2.6494812429913956,-1.57268012,0.00907312","-1.5840935100231206,-2.2464201630294904,2.711766923475659,-2.060950123499805,-1.5726779277206726,0.009054872229613856","-0.11074200376748468,-0.47316452105712764,-0.1443814237390198,-0.24175329450494865,0.00011413999760893006,0.0002777418155690834"
0.008,"-1.58344873,-2.0943951023931953,-3.1367684413048447,-3.1414115794416135,-1.57268012,0.00907312","-1.584315250885703,-2.2477147935424475,2.7113939479031886,-2.061552078497687,-1.5726779478146888,0.009055314609014889","-0.1108704312911786,-0.6473152564784844,-0.18648778623529844,-0.3009774989408696,-1.0047008097937259e-05,0.00022118970051626007"
0.01,"-1.58344873,-2.0943951023931953,-3.141347913246804,-3.141592653589793,-1.57268012,0.00907312","-1.58453496399486,-2.2493552140922213,2.7109365731137025,-2.0622722761521484,-1.5726785285856226,0.009055695100419106","-0.10985655457854072,-0.8202102748867854,-0.22868739474295738,-0.36009882723078435,-0.0002903854669266654,0.00019024570210860427"
0.012,"-1.58344873,-2.0943951023931953,-3.0546242569727053,-3.141592653589793,-1.57268012,0.00907312","-1.584751356872573,-2.251339008016819,2.7103948346358604,-2.0631103981503798,-1.572679694798003,0.00905607354567204","-0.10819643885649985,-0.9918969622987864,-0.27086923892105663,-0.4190609991157398,-0.0005831061901712252,0.0001892226264667881"
0.014,"-1.58344873,-2.0943951023931953,3.141545465704228,-3.141592653589793,-1.57268012,0.00907312","-1.584963103992342,-2.2536640091197984,2.709767862723741,-2.0640665541446324,-1.5726798675287512,0.009056407259424248","-0.10587355988441165,-1.162500551489645,-0.31348595605957313,-0.47807799712640114,-8.636537408562676e-05,0.0001668568761045001"
0.016,"-1.58344873,-2.0943951023931953,3.1284897761909276,-3.141592653589793,-1.57268012,0.00907312","-1.5852068975995075,-2.25635031249548,2.7093804595228166,-2.065227526173914,-1.5726783143111684,0.009056659721023015","-0.1218968035827307,-1.3431516878408478,-0.19370160046232326,-0.580486014640803,0.0007766087913754725,0.00012623079938319903"
0.018000000000000002,"-1.58344873,-2.0943951023931953,-0.32124932006650253,-3.141592653589793,-1.57268012,0.00907312","-1.5854687070410078,-2.2593932650218784,2.709229574182219,-2.066596113602129,-1.5726800413419142,0.009056709433754069","-0.13090472075021786,-1.521476263199168,-0.07544267029872952,-0.6842937141076331,-0.0008635153729062407,2.4856365526942963e-05"
